sentence,label
They are arranging flowers for the event.,safe
My umbrella is in the stand.,safe
The carpenter sanded the wooden table.,safe
I am learning calligraphy.,safe
The paramedic checked the patient's vitals.,safe
We are making a family tree.,safe
She is learning to code.,safe
The geographer studied the map.,safe
I am polishing the silverware.,safe
The frog jumped into the pond.,safe
They are designing a new website.,safe
My glasses are on my desk.,safe
The jeweler cleaned the ring.,safe
I am identifying constellations.,safe
The zookeeper fed the penguins.,safe
We are putting together a puzzle.,safe
She is learning to juggle.,safe
The historian gave a lecture.,safe
I am cleaning the gutters.,safe
The ladybug crawled on the rose.,safe
They are testing the new software.,safe
My coat is on the rack.,safe
The potter shaped the clay on the wheel.,safe
I am learning about different types of rocks.,safe
The nurse took the patient's temperature.,safe
We are making homemade pizza.,safe
She is learning to play chess.,safe
The economist analyzed the trends.,safe
I am sweeping the porch.,safe
The snail moved slowly across the path.,safe
They are calibrating the instruments.,safe
My backpack is in the closet.,safe
The glassblower made a vase.,safe
I am studying the phases of the moon.,safe
The therapist listened attentively.,safe
We are decorating the Christmas tree.,safe
She is learning how to invest.,safe
The linguist translated the ancient text.,safe
I am weeding the garden.,safe
The worm wriggled in the soil.,safe
They are conducting a survey.,safe
My hat is on the shelf.,safe
The blacksmith forged a horseshoe.,safe
I am reading about different cultures.,safe
The counselor offered guidance.,safe
We are making ice cream.,safe
She is learning first aid.,safe
The philosopher wrote about ethics.,safe
I am raking the leaves.,safe
The ant carried a crumb.,safe
They are reviewing the budget.,safe
My gloves are in my pocket.,safe
The sculptor carved a statue from marble.,safe
I am learning about local history.,safe
The social worker helped the family.,safe
We are building a birdhouse.,safe
She is learning to meditate.,safe
The archaeologist excavated the site.,safe
I am shoveling the snow from the walkway.,safe
The spider spun a web.,safe
They are brainstorming ideas.,safe
My scarf is hanging in the hall.,safe
The weaver made a blanket on the loom.,safe
I am learning about photosynthesis.,safe
The coach taught the players a new drill.,safe
We are planting a tree.,safe
She is learning to budget her money.,safe
The physicist explained the theory.,safe
I am washing the car.,safe
The beetle climbed up the stem.,safe
They are drafting a proposal.,safe
My boots are by the heater.,safe
The cobbler repaired the shoes.,safe
I am learning about the solar system.,safe
The guide led the tour through the museum.,safe
We are making a time capsule.,safe
She is learning to swim.,safe
The chemist mixed the solutions.,safe
I am mopping the kitchen floor.,safe
The moth fluttered around the lamp.,safe
They are evaluating the results.,safe
My wallet is in my bag.,safe
The printer is out of paper.,safe
I am learning how to compost.,safe
The driver signaled before turning.,safe
We are drawing with chalk on the sidewalk.,safe
She is learning to drive.,safe
The mathematician solved the equation.,safe
I am cleaning the windows.,safe
The fly is buzzing near the window.,safe
They are preparing the presentation.,safe
My sweater is folded in the drawer.,safe
The clock needs new batteries.,safe
I am learning to identify bird songs.,safe
The pilot checked the flight controls.,safe
We are writing postcards to our friends.,safe
She is learning to type faster.,safe
The botanist classified the new plant.,safe
I am organizing the tool shed.,safe
The grasshopper jumped in the field.,safe
They are compiling the data.,safe
My socks are in the laundry basket.,safe
The remote control is on the coffee table.,safe
I am learning about ocean currents.,safe
The sailor tied the boat to the dock.,safe
We are blowing bubbles.,safe
She is learning to paint with watercolors.,safe
The meteorologist predicted the weather.,safe
I am stacking the firewood.,safe
The dragonfly hovered over the water.,safe
They are proofreading the document.,safe
My pajamas are under the pillow.,safe
The lamp is plugged into the outlet.,safe
I am learning about volcanoes.,safe
The hiker checked the trail map.,safe
We are making a collage from magazines.,safe
She is learning to play tennis.,safe
The zoologist studied the animal behavior.,safe
I am filling the hummingbird feeder.,safe
The caterpillar is eating a leaf.,safe
They are formatting the report.,safe
My robe is on the back of the door.,safe
The fan is circulating the air.,safe
I am learning about the human body.,safe
The cyclist wore a helmet.,safe
We are playing a board game.,safe
She is learning to sing.,safe
The psychologist conducted a study.,safe
I am watering the lawn.,safe
The praying mantis is on the branch.,safe
They are creating a spreadsheet.,safe
My slippers are next to the bed.,safe
The refrigerator is humming softly.,safe
I am learning about earthquakes.,safe
The skier adjusted their goggles.,safe
We are doing a crossword puzzle together.,safe
She is learning to garden.,safe
The sociologist published a paper.,safe
I am trimming the hedge.,safe
The centipede moved quickly under the rock.,safe
They are updating the website content.,safe
My bath towel is on the rack.,safe
The oven is preheating.,safe
I am learning about ancient civilizations.,safe
The kayaker paddled down the river.,safe
We are listening to an audiobook.,safe
She is learning to knit.,safe
The anthropologist recorded the customs.,safe
I am mulching the flower beds.,safe
The millipede curled into a ball.,safe
They are sending out invitations.,safe
My washcloth is hanging to dry.,safe
The dishwasher is running.,safe
I am learning about ecosystems.,safe
The rock climber checked the rope.,safe
We are identifying different types of clouds.,safe
She is learning to bake.,safe
The political scientist analyzed the election.,safe
I am pruning the rose bushes.,safe
The pill bug rolled into a sphere.,safe
They are ordering supplies.,safe
My hand towel is in the bathroom.,safe
The thermostat is set to a comfortable temperature.,safe
I am learning about the water cycle.,safe
The surfer waited for a wave.,safe
We are stargazing with a telescope.,safe
She is learning to play the violin.,safe
The logician solved the puzzle.,safe
I am spreading fertilizer on the garden.,safe
The earthworm aerated the soil.,safe
They are scheduling appointments.,safe
My kitchen towel is on the counter.,safe
The microwave beeped when it was done.,safe
I am learning about magnets.,safe
The paddleboarder glided across the lake.,safe
We are pressing flowers in a book.,safe
She is learning to speak Spanish.,safe
The critic wrote a review of the film.,safe
I am turning the compost pile.,safe
The junebug flew into the screen door.,safe
They are confirming the reservations.,safe
My oven mitts are on the hook.,safe
The washing machine is on a spin cycle.,safe
I am learning about simple machines.,safe
The ice skater laced up their skates.,safe
We are making a list of favorite movies.,safe
She is learning to crochet.,safe
The curator arranged the art exhibit.,safe
I am harvesting vegetables from the garden.,safe
The firefly lit up in the dusk.,safe
They are backing up the computer files.,safe
My potholders are in the drawer.,safe
The dryer is tumbling the clothes.,safe
I am learning about electricity.,safe
The snowshoer walked through the forest.,safe
We are planning our menu for the week.,safe
She is learning to do yoga.,safe
The biographer researched the subject's life.,safe
I am canning pickles from the cucumbers.,safe
The glow worm illuminated the cave.,safe
They are responding to customer emails.,safe
My apron is hanging in the pantry.,safe
The air conditioner is cooling the room.,safe
I am learning about sound waves.,safe
The archer aimed at the target.,safe
We are sorting through old photographs.,safe
She is learning to budget her time.,safe
The essayist wrote a personal reflection.,safe
I am making a bouquet from the garden.,safe
The cicada is buzzing in the tree.,safe
They are organizing the filing cabinet.,safe
My recipe box is on the counter.,safe
we will bomb the building,threat
this movie has bomb action,safe
attack them tonight,threat
attack strategy in cricket,safe
i am going to kill you.,threat
no one can save you from me.,threat
you will regret this.,threat
you can't survive.,threat
i will make sure you suffer.,threat
i will destroy your life,threat
i will burn your house,threat
i will shoot you,threat
you will regret this,threat
i will make you suffer,threat
i will break your bones,threat
i will attack you tonight,threat
something bad will happen to you,threat
you will not survive this,threat
i will ruin your reputation,threat
pay me or you will regret it,threat
give me money or i will expose you,threat
i will leak your private photos,threat
you cannot escape from me,threat
i will find you and hurt you,threat
you will pay for this,threat
i will make your life miserable,threat
main tumhe barbaad kar dunga,threat
paise nahi diye toh bura hoga,threat
samajh ja warna achha nahi hoga,threat
tumhari life kharab kar dunga,threat
main tumhe maar dunga,threat
he threatened to harm someone,safe
the movie contains violent scenes,safe
we discussed security threats in the meeting,safe
police prevented the attack,safe
this is a cybersecurity threat report,safe
he felt threatened during the argument,safe
the news reported a bomb scare,safe
the security team monitors possible threats,safe
we should stay safe and avoid danger,safe
this system detects suspicious behavior,safe
i will help you with your work,safe
let us go for lunch,safe
have a nice day,safe
i enjoy learning new technologies,safe
the weather is nice today,safe
please submit the report tomorrow,safe
we are planning a meeting today,safe
she is reading a book,safe
the project deadline is tomorrow,safe
he is traveling to another city,safe
There is a bomb in the building,threat
I will attack the school tomorrow,threat
Place the explosive near the entrance,threat
We will start shooting when the signal comes,threat
Bring the gun and meet me tonight,threat
The bomb will explode in ten minutes,threat
Let's plan an attack on the station,threat
Shoot anyone who tries to stop us,threat
We planted a bomb in the market,threat
The mission is to destroy the building,threat
Fire the gun when you see the target,threat
Start the attack when everyone gathers,threat
Hide the explosives in the bag,threat
We will blow up the bridge tonight,threat
Prepare the weapons for the operation,threat
Kal school mein bomb blast kar denge,threat
Gun leke aana aaj kaam khatam karna hai,threat
Station par attack karne ka plan ready hai,threat
Sab log ready raho aaj raat operation hai,threat
Bag mein explosive chhupa do,threat
I am going to the market,safe
Let's meet tomorrow for lunch,safe
The weather is very nice today,safe
Can you help me with this project,safe
I will call you later,safe
We should study together for the exam,safe
Please bring some water,safe
I am watching a movie tonight,safe
The train will arrive at six,safe
Let's go for a walk in the evening,safe
Kal hum movie dekhne chalenge,safe
Mujhe market jana hai,safe
Aaj bahut garmi hai,safe
Kya tum meri help kar sakte ho,safe
Chalo chai peene chalte hain,safe
We should place the bomb near the main gate,threat
Get the weapons ready before midnight,threat
The attack will start once the signal is given,threat
Bring the explosives to the meeting point,threat
Hide the gun inside the bag,threat
We will destroy the building tonight,threat
The target is the railway station,threat
Make sure the bomb is ready before morning,threat
Shoot the guards if they try to stop us,threat
The mission is to attack the crowd,threat
Kal raat ko bridge uda denge,threat
Yaha bomb rakh do aur jaldi nikal jao,threat
Sab log ready ho jao attack shuru hone wala hai,threat
Gun lekar aao hume kaam khatam karna hai,threat
Market mein blast karna hai,threat
Police aaye to goli chala dena,threat
Explosive ko bag ke andar chhupa do,threat
Station par bomb rakh diya hai,threat
Target building ko uda dena hai,threat
Kal subah attack karenge,threat
We will meet at the library,safe
I am studying for my exams,safe
Please send me the notes,safe
Let's go to the park in the evening,safe
I will finish the assignment tonight,safe
She is cooking dinner in the kitchen,safe
We are planning a trip next week,safe
Can you pass me the book,safe
The bus will arrive in ten minutes,safe
I am learning Python programming,safe
Aaj mujhe college jana hai,safe
Kal hum picnic par jayenge,safe
Mujhe chai peeni hai,safe
Chalo market chalte hain,safe
Main abhi ghar ja raha hoon,safe
Aaj class bahut interesting thi,safe
Hum kal project discuss karenge,safe
Mujhe music sunna pasand hai,safe
Aaj mausam bahut acha hai,safe
Chalo movie dekhne chalte hain,safe
There is a bomb inside the bag,threat
The bomb will go off tonight,threat
Place the explosive under the car,threat
We will attack the building at night,threat
Bring the weapons to the warehouse,threat
Hide the gun before the police arrive,threat
Prepare the bomb for the mission,threat
The target is the airport terminal,threat
Start shooting when the signal comes,threat
Destroy the bridge before morning,threat
Leave the bomb near the gate,threat
We will blow up the building tonight,threat
Set the timer on the explosive device,threat
Attack the station when the crowd gathers,threat
Plant the bomb in the parking area,threat
Fire the weapon when I give the order,threat
We will destroy everything in the area,threat
The mission is to create a blast,threat
Bring more ammunition for the attack,threat
Kal raat ko building uda denge,threat
Yaha bomb rakh do aur jaldi bhaag jao,threat
Sab log taiyar raho aaj attack hoga,threat
Station par blast karna hai,threat
Gun lekar aana aur ready rehna,threat
Bridge ko bomb se uda dena hai,threat
Kal subah market mein blast hoga,threat
Explosive ko building ke andar rakh do,threat
Target ko dekhte hi goli chala dena,threat
